views,subscriber,videoscount,date,year,day_of_week,month,day,week_number,season,quarter,part_of_month
3417540,2134,4,2016-11-09,2016,2,11,9,45,3,3,0
3419039,2135,4,2016-11-10,2016,3,11,10,45,3,3,0
3420719,2137,4,2016-11-11,2016,4,11,11,45,3,3,1
3422616,2137,4,2016-11-12,2016,5,11,12,45,3,3,1
3424481,2137,4,2016-11-13,2016,6,11,13,45,3,3,1
3426470,2137,4,2016-11-14,2016,0,11,14,46,3,3,1
3428251,2139,4,2016-11-15,2016,1,11,15,46,3,3,1
3428251,2141,4,2016-11-16,2016,2,11,16,46,3,3,1
3432183,2141,4,2016-11-17,2016,3,11,17,46,3,3,1
3434341,2141,4,2016-11-18,2016,4,11,18,46,3,3,1
3436545,2143,4,2016-11-19,2016,5,11,19,46,3,3,1
3438137,2143,4,2016-11-20,2016,6,11,20,46,3,3,1
3439918,2144,4,2016-11-21,2016,0,11,21,47,3,3,2
3441395,2144,4,2016-11-22,2016,1,11,22,47,3,3,2
3442943,2144,4,2016-11-23,2016,2,11,23,47,3,3,2
3444461,2145,4,2016-11-24,2016,3,11,24,47,3,3,2
3446260,2145,4,2016-11-25,2016,4,11,25,47,3,3,2
3447835,2146,4,2016-11-26,2016,5,11,26,47,3,3,2
3449422,2147,4,2016-11-27,2016,6,11,27,47,3,3,2
3450461,2146,4,2016-11-28,2016,0,11,28,48,3,3,2
3454864,2146,4,2016-11-29,2016,1,11,29,48,3,3,2
3452549,2146,4,2016-11-30,2016,2,11,30,48,3,3,2
3452549,2146,4,2016-12-01,2016,3,12,1,48,0,3,0
3452549,2146,4,2016-12-02,2016,4,12,2,48,0,3,0
3452549,2146,4,2016-12-03,2016,5,12,3,48,0,3,0
3452549,2146,4,2016-12-04,2016,6,12,4,48,0,3,0
3458523,2146,4,2016-12-05,2016,0,12,5,49,0,3,0
3461592,2148,4,2016-12-06,2016,1,12,6,49,0,3,0
3461592,2148,4,2016-12-07,2016,2,12,7,49,0,3,0
3464270,2149,4,2016-12-08,2016,3,12,8,49,0,3,0
3465710,2151,4,2016-12-09,2016,4,12,9,49,0,3,0
3467413,2149,4,2016-12-10,2016,5,12,10,49,0,3,0
3469167,2150,4,2016-12-11,2016,6,12,11,49,0,3,1
3470839,2151,4,2016-12-12,2016,0,12,12,50,0,3,1
3474988,2152,4,2016-12-13,2016,1,12,13,50,0,3,1
3478463,2152,5,2016-12-14,2016,2,12,14,50,0,3,1
3480351,2152,5,2016-12-15,2016,3,12,15,50,0,3,1
3481906,2154,5,2016-12-16,2016,4,12,16,50,0,3,1
3481906,2155,5,2016-12-17,2016,5,12,17,50,0,3,1
3485374,2155,5,2016-12-18,2016,6,12,18,50,0,3,1
3487097,2156,5,2016-12-19,2016,0,12,19,51,0,3,1
3488497,2157,5,2016-12-20,2016,1,12,20,51,0,3,1
3490372,2159,5,2016-12-21,2016,2,12,21,51,0,3,2
3492386,2164,5,2016-12-22,2016,3,12,22,51,0,3,2
3494773,2166,5,2016-12-23,2016,4,12,23,51,0,3,2
3498400,2167,5,2016-12-24,2016,5,12,24,51,0,3,2
3501403,2167,5,2016-12-25,2016,6,12,25,51,0,3,2
3504095,2163,5,2016-12-26,2016,0,12,26,52,0,3,2
3506432,2165,5,2016-12-27,2016,1,12,27,52,0,3,2
3509267,2168,5,2016-12-28,2016,2,12,28,52,0,3,2
3512335,2169,5,2016-12-29,2016,3,12,29,52,0,3,2
3515128,2169,5,2016-12-30,2016,4,12,30,52,0,3,2
3517728,2170,5,2016-12-31,2016,5,12,31,52,0,3,2
3520251,2174,5,2017-01-01,2017,6,1,1,52,0,0,0
3523386,2176,5,2017-01-02,2017,0,1,2,01,0,0,0
3526402,2178,5,2017-01-03,2017,1,1,3,01,0,0,0
3529722,2181,5,2017-01-04,2017,2,1,4,01,0,0,0
3533314,2184,5,2017-01-05,2017,3,1,5,01,0,0,0
3536986,2187,5,2017-01-06,2017,4,1,6,01,0,0,0
3541672,2193,5,2017-01-07,2017,5,1,7,01,0,0,0
3549290,2198,5,2017-01-08,2017,6,1,8,01,0,0,0
3552689,2198,5,2017-01-09,2017,0,1,9,02,0,0,0
3555499,2202,5,2017-01-10,2017,1,1,10,02,0,0,0
3558452,2205,5,2017-01-11,2017,2,1,11,02,0,0,1
3561505,2205,5,2017-01-12,2017,3,1,12,02,0,0,1
3564110,2209,5,2017-01-13,2017,4,1,13,02,0,0,1
3580985,2211,5,2017-01-14,2017,5,1,14,02,0,0,1
3580985,2213,5,2017-01-15,2017,6,1,15,02,0,0,1
3620411,2218,5,2017-01-16,2017,0,1,16,03,0,0,1
3637138,2219,5,2017-01-17,2017,1,1,17,03,0,0,1
3646312,2223,5,2017-01-18,2017,2,1,18,03,0,0,1
3648328,2229,5,2017-01-19,2017,3,1,19,03,0,0,1
3652919,2232,5,2017-01-20,2017,4,1,20,03,0,0,1
3658256,2234,5,2017-01-21,2017,5,1,21,03,0,0,2
3663214,2240,5,2017-01-22,2017,6,1,22,03,0,0,2
3667931,2245,5,2017-01-23,2017,0,1,23,04,0,0,2
3609696,2250,5,2017-01-24,2017,1,1,24,04,0,0,2
3609696,2251,5,2017-01-25,2017,2,1,25,04,0,0,2
3617882,2244,5,2017-01-26,2017,3,1,26,04,0,0,2
3622089,2247,5,2017-01-27,2017,4,1,27,04,0,0,2
3622089,2253,5,2017-01-28,2017,5,1,28,04,0,0,2
3631428,2255,5,2017-01-29,2017,6,1,29,04,0,0,2
3633803,2256,5,2017-01-30,2017,0,1,30,05,0,0,2
3633803,2259,5,2017-01-31,2017,1,1,31,05,0,0,2
3640278,2262,5,2017-02-01,2017,2,2,1,05,0,0,0
3640278,2265,5,2017-02-02,2017,3,2,2,05,0,0,0
3643585,2268,5,2017-02-03,2017,4,2,3,05,0,0,0
3652266,2275,5,2017-02-04,2017,5,2,4,05,0,0,0
3657917,2277,5,2017-02-05,2017,6,2,5,05,0,0,0
3664290,2281,5,2017-02-06,2017,0,2,6,06,0,0,0
3670776,2284,5,2017-02-07,2017,1,2,7,06,0,0,0
3675765,2289,5,2017-02-08,2017,2,2,8,06,0,0,0
3675765,2286,5,2017-02-09,2017,3,2,9,06,0,0,0
3685020,2288,5,2017-02-10,2017,4,2,10,06,0,0,0
3690127,2290,5,2017-02-11,2017,5,2,11,06,0,0,1
3696009,2293,5,2017-02-12,2017,6,2,12,06,0,0,1
3696009,2294,5,2017-02-13,2017,0,2,13,07,0,0,1
3704735,2297,5,2017-02-14,2017,1,2,14,07,0,0,1
3709148,2299,5,2017-02-15,2017,2,2,15,07,0,0,1
3714258,2299,5,2017-02-16,2017,3,2,16,07,0,0,1
3715757,2299,5,2017-02-17,2017,4,2,17,07,0,0,1
3716330,2300,5,2017-02-18,2017,5,2,18,07,0,0,1
3716902,2302,5,2017-02-19,2017,6,2,19,07,0,0,1
3718035,2307,5,2017-02-20,2017,0,2,20,08,0,0,1
3720967,2309,5,2017-02-21,2017,1,2,21,08,0,0,2
3724471,2309,5,2017-02-22,2017,2,2,22,08,0,0,2
3727725,2311,5,2017-02-23,2017,3,2,23,08,0,0,2
3729699,2312,5,2017-02-24,2017,4,2,24,08,0,0,2
3732951,2313,5,2017-02-25,2017,5,2,25,08,0,0,2
397120,7304,212,2016-10-01,2016,5,10,1,39,3,3,0
397156,7304,212,2016-10-02,2016,6,10,2,39,3,3,0
397204,7305,212,2016-10-03,2016,0,10,3,40,3,3,0
397263,7303,212,2016-10-04,2016,1,10,4,40,3,3,0
397315,7303,212,2016-10-05,2016,2,10,5,40,3,3,0
397373,7302,212,2016-10-06,2016,3,10,6,40,3,3,0
397437,7302,212,2016-10-07,2016,4,10,7,40,3,3,0
397465,7301,212,2016-10-08,2016,5,10,8,40,3,3,0
397556,7301,212,2016-10-09,2016,6,10,9,40,3,3,0
397603,7301,212,2016-10-10,2016,0,10,10,41,3,3,0
397650,7301,212,2016-10-11,2016,1,10,11,41,3,3,1
397702,7300,212,2016-10-12,2016,2,10,12,41,3,3,1
397702,7300,212,2016-10-13,2016,3,10,13,41,3,3,1
397779,7300,212,2016-10-14,2016,4,10,14,41,3,3,1
397840,7300,212,2016-10-15,2016,5,10,15,41,3,3,1
397893,7300,212,2016-10-16,2016,6,10,16,41,3,3,1
397989,7300,212,2016-10-17,2016,0,10,17,42,3,3,1
398088,7300,212,2016-10-18,2016,1,10,18,42,3,3,1
398199,7299,212,2016-10-19,2016,2,10,19,42,3,3,1
398306,7300,212,2016-10-20,2016,3,10,20,42,3,3,1
398306,7303,212,2016-10-21,2016,4,10,21,42,3,3,2
398449,7303,212,2016-10-22,2016,5,10,22,42,3,3,2
398554,7304,212,2016-10-23,2016,6,10,23,42,3,3,2
398554,7303,212,2016-10-24,2016,0,10,24,43,3,3,2
398646,7301,212,2016-10-25,2016,1,10,25,43,3,3,2
398747,7302,212,2016-10-26,2016,2,10,26,43,3,3,2
398832,7301,212,2016-10-27,2016,3,10,27,43,3,3,2
398894,7303,212,2016-10-28,2016,4,10,28,43,3,3,2
398966,7302,212,2016-10-29,2016,5,10,29,43,3,3,2
399008,7301,212,2016-10-30,2016,6,10,30,43,3,3,2
399051,7299,212,2016-10-31,2016,0,10,31,44,3,3,2
399105,7297,212,2016-11-01,2016,1,11,1,44,3,3,0
399147,7291,212,2016-11-02,2016,2,11,2,44,3,3,0
399193,7291,212,2016-11-03,2016,3,11,3,44,3,3,0
399234,7291,212,2016-11-04,2016,4,11,4,44,3,3,0
399234,7291,212,2016-11-05,2016,5,11,5,44,3,3,0
399329,7292,212,2016-11-06,2016,6,11,6,44,3,3,0
399387,7291,212,2016-11-07,2016,0,11,7,45,3,3,0
399423,7290,212,2016-11-08,2016,1,11,8,45,3,3,0
399474,7291,212,2016-11-09,2016,2,11,9,45,3,3,0
399528,7290,212,2016-11-10,2016,3,11,10,45,3,3,0
399578,7291,212,2016-11-11,2016,4,11,11,45,3,3,1
399656,7291,212,2016-11-12,2016,5,11,12,45,3,3,1
399750,7290,212,2016-11-13,2016,6,11,13,45,3,3,1
399801,7291,212,2016-11-14,2016,0,11,14,46,3,3,1
399847,7292,212,2016-11-15,2016,1,11,15,46,3,3,1
399847,7293,211,2016-11-16,2016,2,11,16,46,3,3,1
399939,7292,211,2016-11-17,2016,3,11,17,46,3,3,1
399592,7293,211,2016-11-18,2016,4,11,18,46,3,3,1
399643,7290,211,2016-11-19,2016,5,11,19,46,3,3,1
399680,7289,211,2016-11-20,2016,6,11,20,46,3,3,1
399717,7289,211,2016-11-21,2016,0,11,21,47,3,3,2
399778,7289,211,2016-11-22,2016,1,11,22,47,3,3,2
399810,7289,211,2016-11-23,2016,2,11,23,47,3,3,2
399841,7289,211,2016-11-24,2016,3,11,24,47,3,3,2
399869,7289,211,2016-11-25,2016,4,11,25,47,3,3,2
399912,7288,211,2016-11-26,2016,5,11,26,47,3,3,2
399932,7288,211,2016-11-27,2016,6,11,27,47,3,3,2
399955,7287,211,2016-11-28,2016,0,11,28,48,3,3,2
400057,7287,211,2016-11-29,2016,1,11,29,48,3,3,2
400018,7288,211,2016-11-30,2016,2,11,30,48,3,3,2
400018,7287,211,2016-12-01,2016,3,12,1,48,0,3,0
400018,7286,211,2016-12-02,2016,4,12,2,48,0,3,0
400018,7286,211,2016-12-03,2016,5,12,3,48,0,3,0
400018,7285,211,2016-12-04,2016,6,12,4,48,0,3,0
400204,7286,211,2016-12-05,2016,0,12,5,49,0,3,0
400303,7283,211,2016-12-06,2016,1,12,6,49,0,3,0
400303,7279,211,2016-12-07,2016,2,12,7,49,0,3,0
400384,7278,211,2016-12-08,2016,3,12,8,49,0,3,0
400418,7276,211,2016-12-09,2016,4,12,9,49,0,3,0
400444,7276,211,2016-12-10,2016,5,12,10,49,0,3,0
400484,7276,211,2016-12-11,2016,6,12,11,49,0,3,1
400514,7276,212,2016-12-12,2016,0,12,12,50,0,3,1
400877,7272,212,2016-12-13,2016,1,12,13,50,0,3,1
401235,7271,212,2016-12-14,2016,2,12,14,50,0,3,1
400944,7271,212,2016-12-15,2016,3,12,15,50,0,3,1
400994,7272,212,2016-12-16,2016,4,12,16,50,0,3,1
400994,7270,212,2016-12-17,2016,5,12,17,50,0,3,1
401050,7270,212,2016-12-18,2016,6,12,18,50,0,3,1
401094,7270,212,2016-12-19,2016,0,12,19,51,0,3,1
401125,7269,212,2016-12-20,2016,1,12,20,51,0,3,1
401156,7267,212,2016-12-21,2016,2,12,21,51,0,3,2
401187,7266,212,2016-12-22,2016,3,12,22,51,0,3,2
401242,7264,212,2016-12-23,2016,4,12,23,51,0,3,2
401282,7264,212,2016-12-24,2016,5,12,24,51,0,3,2
401321,7263,212,2016-12-25,2016,6,12,25,51,0,3,2
401360,7263,212,2016-12-26,2016,0,12,26,52,0,3,2
401389,7262,212,2016-12-27,2016,1,12,27,52,0,3,2
401427,7262,212,2016-12-28,2016,2,12,28,52,0,3,2
401461,7261,212,2016-12-29,2016,3,12,29,52,0,3,2
401501,7261,212,2016-12-30,2016,4,12,30,52,0,3,2
401533,7261,212,2016-12-31,2016,5,12,31,52,0,3,2
401566,7261,212,2017-01-01,2017,6,1,1,52,0,0,0
401601,7261,212,2017-01-02,2017,0,1,2,01,0,0,0
401641,7259,212,2017-01-03,2017,1,1,3,01,0,0,0
401685,7258,212,2017-01-04,2017,2,1,4,01,0,0,0
401729,7258,212,2017-01-05,2017,3,1,5,01,0,0,0
401785,7261,212,2017-01-06,2017,4,1,6,01,0,0,0
401852,7258,212,2017-01-07,2017,5,1,7,01,0,0,0
401934,7257,212,2017-01-08,2017,6,1,8,01,0,0,0
401990,7257,212,2017-01-09,2017,0,1,9,02,0,0,0
402035,7257,212,2017-01-10,2017,1,1,10,02,0,0,0
402112,7257,212,2017-01-11,2017,2,1,11,02,0,0,1
402187,7256,211,2017-01-12,2017,3,1,12,02,0,0,1
402251,7255,211,2017-01-13,2017,4,1,13,02,0,0,1
402126,7254,211,2017-01-14,2017,5,1,14,02,0,0,1
402126,7254,211,2017-01-15,2017,6,1,15,02,0,0,1
402735,7254,211,2017-01-16,2017,0,1,16,03,0,0,1
402967,7253,211,2017-01-17,2017,1,1,17,03,0,0,1
403130,7251,211,2017-01-18,2017,2,1,18,03,0,0,1
403126,7251,211,2017-01-19,2017,3,1,19,03,0,0,1
403160,7251,211,2017-01-20,2017,4,1,20,03,0,0,1
403222,7248,211,2017-01-21,2017,5,1,21,03,0,0,2
403282,7246,211,2017-01-22,2017,6,1,22,03,0,0,2
403332,7247,211,2017-01-23,2017,0,1,23,04,0,0,2
402423,7247,211,2017-01-24,2017,1,1,24,04,0,0,2
402423,7247,211,2017-01-25,2017,2,1,25,04,0,0,2
402589,7245,211,2017-01-26,2017,3,1,26,04,0,0,2
402631,7243,211,2017-01-27,2017,4,1,27,04,0,0,2
402631,7240,211,2017-01-28,2017,5,1,28,04,0,0,2
402719,7241,211,2017-01-29,2017,6,1,29,04,0,0,2
402763,7241,211,2017-01-30,2017,0,1,30,05,0,0,2
402763,7241,211,2017-01-31,2017,1,1,31,05,0,0,2
402862,7242,211,2017-02-01,2017,2,2,1,05,0,0,0
402862,7242,211,2017-02-02,2017,3,2,2,05,0,0,0
402910,7240,211,2017-02-03,2017,4,2,3,05,0,0,0
403054,7239,211,2017-02-04,2017,5,2,4,05,0,0,0
403117,7238,211,2017-02-05,2017,6,2,5,05,0,0,0
403175,7237,211,2017-02-06,2017,0,2,6,06,0,0,0
403265,7242,211,2017-02-07,2017,1,2,7,06,0,0,0
403323,7248,211,2017-02-08,2017,2,2,8,06,0,0,0
403323,7252,211,2017-02-09,2017,3,2,9,06,0,0,0
403543,7257,212,2017-02-10,2017,4,2,10,06,0,0,0
403678,7255,212,2017-02-11,2017,5,2,11,06,0,0,1
403920,7257,212,2017-02-12,2017,6,2,12,06,0,0,1
403920,7258,212,2017-02-13,2017,0,2,13,07,0,0,1
404206,7257,212,2017-02-14,2017,1,2,14,07,0,0,1
404296,7263,212,2017-02-15,2017,2,2,15,07,0,0,1
404383,7264,212,2017-02-16,2017,3,2,16,07,0,0,1
404463,7264,212,2017-02-17,2017,4,2,17,07,0,0,1
404540,7265,212,2017-02-18,2017,5,2,18,07,0,0,1
404540,7264,212,2017-02-19,2017,6,2,19,07,0,0,1
404660,7265,212,2017-02-20,2017,0,2,20,08,0,0,1
404775,7265,212,2017-02-21,2017,1,2,21,08,0,0,2
404832,7265,212,2017-02-22,2017,2,2,22,08,0,0,2
404885,7266,212,2017-02-23,2017,3,2,23,08,0,0,2
404938,7265,212,2017-02-24,2017,4,2,24,08,0,0,2
404981,7266,212,2017-02-25,2017,5,2,25,08,0,0,2
3736648,2314,5,2017-02-26,2017,6,2,26,08,0,0,2
3736648,2315,5,2017-02-27,2017,0,2,27,09,0,0,2
3743148,2315,5,2017-02-28,2017,1,2,28,09,0,0,2
3746722,2315,5,2017-03-01,2017,2,3,1,09,1,0,0
3749621,2318,5,2017-03-02,2017,3,3,2,09,1,0,0
3752196,2323,5,2017-03-03,2017,4,3,3,09,1,0,0
3755116,2322,5,2017-03-04,2017,5,3,4,09,1,0,0
3757806,2323,5,2017-03-05,2017,6,3,5,09,1,0,0
3757806,2327,5,2017-03-06,2017,0,3,6,10,1,0,0
3763378,2327,5,2017-03-07,2017,1,3,7,10,1,0,0
3766827,2329,5,2017-03-08,2017,2,3,8,10,1,0,0
3770460,2331,5,2017-03-09,2017,3,3,9,10,1,0,0
3773395,2333,5,2017-03-10,2017,4,3,10,10,1,0,0
3776603,2334,5,2017-03-11,2017,5,3,11,10,1,0,1
3779288,2336,5,2017-03-12,2017,6,3,12,10,1,0,1
3781715,2337,5,2017-03-13,2017,0,3,13,11,1,0,1
3784382,2340,5,2017-03-14,2017,1,3,14,11,1,0,1
3786968,2340,5,2017-03-15,2017,2,3,15,11,1,0,1
3789951,2341,5,2017-03-16,2017,3,3,16,11,1,0,1
3792689,2344,5,2017-03-17,2017,4,3,17,11,1,0,1
3796118,2343,5,2017-03-18,2017,5,3,18,11,1,0,1
3799933,2344,5,2017-03-19,2017,6,3,19,11,1,0,1
3809109,2345,5,2017-03-20,2017,0,3,20,12,1,0,1
3809109,2349,5,2017-03-21,2017,1,3,21,12,1,0,2
3818727,2355,5,2017-03-22,2017,2,3,22,12,1,0,2
3823784,2357,5,2017-03-23,2017,3,3,23,12,1,0,2
3828376,2358,5,2017-03-24,2017,4,3,24,12,1,0,2
3836823,2360,5,2017-03-25,2017,5,3,25,12,1,0,2
3843751,2366,5,2017-03-26,2017,6,3,26,12,1,0,2
3850032,2369,5,2017-03-27,2017,0,3,27,13,1,0,2
3856527,2373,5,2017-03-28,2017,1,3,28,13,1,0,2
3863729,2370,5,2017-03-29,2017,2,3,29,13,1,0,2
3870341,2378,5,2017-03-30,2017,3,3,30,13,1,0,2
3877914,2386,5,2017-03-31,2017,4,3,31,13,1,0,2
1758822,2518,6,2016-10-01,2016,5,10,1,39,3,3,0
1765590,2527,6,2016-10-02,2016,6,10,2,39,3,3,0
1771949,2529,6,2016-10-03,2016,0,10,3,40,3,3,0
1777218,2533,6,2016-10-04,2016,1,10,4,40,3,3,0
1782756,2542,6,2016-10-05,2016,2,10,5,40,3,3,0
1788807,2550,6,2016-10-06,2016,3,10,6,40,3,3,0
1794258,2554,6,2016-10-07,2016,4,10,7,40,3,3,0
1800348,2566,6,2016-10-08,2016,5,10,8,40,3,3,0
1806988,2565,6,2016-10-09,2016,6,10,9,40,3,3,0
1812825,2569,6,2016-10-10,2016,0,10,10,41,3,3,0
1818317,2576,6,2016-10-11,2016,1,10,11,41,3,3,1
1824327,2588,6,2016-10-12,2016,2,10,12,41,3,3,1
1824327,2596,6,2016-10-13,2016,3,10,13,41,3,3,1
1838183,2611,6,2016-10-14,2016,4,10,14,41,3,3,1
1845494,2626,6,2016-10-15,2016,5,10,15,41,3,3,1
1853044,2631,6,2016-10-16,2016,6,10,16,41,3,3,1
1860603,2642,6,2016-10-17,2016,0,10,17,42,3,3,1
1868193,2654,6,2016-10-18,2016,1,10,18,42,3,3,1
1875760,2671,6,2016-10-19,2016,2,10,19,42,3,3,1
1884295,2687,6,2016-10-20,2016,3,10,20,42,3,3,1
1884295,2707,6,2016-10-21,2016,4,10,21,42,3,3,2
1904863,2722,6,2016-10-22,2016,5,10,22,42,3,3,2
1916197,2733,6,2016-10-23,2016,6,10,23,42,3,3,2
1916197,2752,6,2016-10-24,2016,0,10,24,43,3,3,2
1938248,2768,6,2016-10-25,2016,1,10,25,43,3,3,2
1949010,2781,6,2016-10-26,2016,2,10,26,43,3,3,2
1959114,2794,6,2016-10-27,2016,3,10,27,43,3,3,2
1969980,2811,6,2016-10-28,2016,4,10,28,43,3,3,2
1980850,2832,6,2016-10-29,2016,5,10,29,43,3,3,2
1990964,2858,6,2016-10-30,2016,6,10,30,43,3,3,2
1999229,2878,6,2016-10-31,2016,0,10,31,44,3,3,2
2004867,2902,6,2016-11-01,2016,1,11,1,44,3,3,0
2011124,2926,6,2016-11-02,2016,2,11,2,44,3,3,0
2017318,2948,6,2016-11-03,2016,3,11,3,44,3,3,0
2023928,2977,6,2016-11-04,2016,4,11,4,44,3,3,0
2023928,2991,6,2016-11-05,2016,5,11,5,44,3,3,0
2035493,3016,6,2016-11-06,2016,6,11,6,44,3,3,0
2040913,3035,6,2016-11-07,2016,0,11,7,45,3,3,0
2046631,3054,6,2016-11-08,2016,1,11,8,45,3,3,0
2052233,3072,6,2016-11-09,2016,2,11,9,45,3,3,0
2057563,3092,6,2016-11-10,2016,3,11,10,45,3,3,0
2063026,3109,6,2016-11-11,2016,4,11,11,45,3,3,1
2068477,3130,6,2016-11-12,2016,5,11,12,45,3,3,1
2073844,3148,6,2016-11-13,2016,6,11,13,45,3,3,1
2079184,3161,6,2016-11-14,2016,0,11,14,46,3,3,1
2083825,3177,6,2016-11-15,2016,1,11,15,46,3,3,1
2083825,3191,6,2016-11-16,2016,2,11,16,46,3,3,1
2093140,3207,6,2016-11-17,2016,3,11,17,46,3,3,1
2097818,3227,6,2016-11-18,2016,4,11,18,46,3,3,1
2102956,3240,6,2016-11-19,2016,5,11,19,46,3,3,1
2107649,3270,6,2016-11-20,2016,6,11,20,46,3,3,1
2112501,3282,6,2016-11-21,2016,0,11,21,47,3,3,2
2117414,3293,6,2016-11-22,2016,1,11,22,47,3,3,2
2122229,3311,6,2016-11-23,2016,2,11,23,47,3,3,2
2127169,3324,6,2016-11-24,2016,3,11,24,47,3,3,2
2132115,3344,6,2016-11-25,2016,4,11,25,47,3,3,2
2137279,3358,6,2016-11-26,2016,5,11,26,47,3,3,2
2142545,3374,6,2016-11-27,2016,6,11,27,47,3,3,2
2148170,3394,6,2016-11-28,2016,0,11,28,48,3,3,2
2161919,3419,6,2016-11-29,2016,1,11,29,48,3,3,2
2159560,3439,6,2016-11-30,2016,2,11,30,48,3,3,2
2159560,3468,6,2016-12-01,2016,3,12,1,48,0,3,0
2159560,3491,6,2016-12-02,2016,4,12,2,48,0,3,0
2159560,3514,6,2016-12-03,2016,5,12,3,48,0,3,0
2159560,3539,6,2016-12-04,2016,6,12,4,48,0,3,0
2183468,3566,6,2016-12-05,2016,0,12,5,49,0,3,0
2195578,3585,6,2016-12-06,2016,1,12,6,49,0,3,0
2195578,3616,6,2016-12-07,2016,2,12,7,49,0,3,0
2206749,3633,6,2016-12-08,2016,3,12,8,49,0,3,0
2211922,3646,6,2016-12-09,2016,4,12,9,49,0,3,0
2217168,3668,6,2016-12-10,2016,5,12,10,49,0,3,0
2222162,3686,6,2016-12-11,2016,6,12,11,49,0,3,1
2227776,3708,6,2016-12-12,2016,0,12,12,50,0,3,1
2232995,3726,6,2016-12-13,2016,1,12,13,50,0,3,1
2237364,3740,6,2016-12-14,2016,2,12,14,50,0,3,1
2241986,3762,6,2016-12-15,2016,3,12,15,50,0,3,1
2246819,3780,6,2016-12-16,2016,4,12,16,50,0,3,1
2246819,3803,6,2016-12-17,2016,5,12,17,50,0,3,1
2257135,3827,6,2016-12-18,2016,6,12,18,50,0,3,1
2262865,3849,6,2016-12-19,2016,0,12,19,51,0,3,1
2268737,3868,6,2016-12-20,2016,1,12,20,51,0,3,1
2274643,3875,6,2016-12-21,2016,2,12,21,51,0,3,2
2279862,3899,6,2016-12-22,2016,3,12,22,51,0,3,2
2284754,3929,6,2016-12-23,2016,4,12,23,51,0,3,2
2289823,3950,6,2016-12-24,2016,5,12,24,51,0,3,2
2294581,3964,6,2016-12-25,2016,6,12,25,51,0,3,2
2299343,3981,6,2016-12-26,2016,0,12,26,52,0,3,2
2303997,4004,6,2016-12-27,2016,1,12,27,52,0,3,2
2308711,4023,6,2016-12-28,2016,2,12,28,52,0,3,2
2313833,4037,6,2016-12-29,2016,3,12,29,52,0,3,2
2318388,4049,6,2016-12-30,2016,4,12,30,52,0,3,2
2322918,4062,6,2016-12-31,2016,5,12,31,52,0,3,2
2327422,4073,6,2017-01-01,2017,6,1,1,52,0,0,0
2331809,4091,6,2017-01-02,2017,0,1,2,01,0,0,0
2336293,4118,6,2017-01-03,2017,1,1,3,01,0,0,0
2341445,4136,6,2017-01-04,2017,2,1,4,01,0,0,0
